Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,23.200001,23.35,22.76,23.120001,112773500,23.120001
2017-03-23,23.040001,23.49,22.91,23.07,110698700,23.07
2017-03-22,22.65,23.18,22.450001,22.940001,167540300,22.940001
2017-03-21,24.50,24.559999,22.950001,23.02,258465900,23.02
2017-03-20,24.58,24.76,24.42,24.440001,85671300,24.440001
2017-03-17,25.219999,25.27,24.83,24.860001,104745300,24.860001
2017-03-16,25.24,25.49,25.190001,25.219999,69727100,25.219999
2017-03-15,25.389999,25.549999,24.959999,25.18,114229100,25.18
2017-03-14,25.190001,25.34,25.049999,25.32,62992600,25.32
2017-03-13,25.299999,25.41,25.129999,25.299999,56327600,25.299999
2017-03-10,25.620001,25.620001,25.09,25.309999,86734300,25.309999
2017-03-09,25.35,25.530001,25.23,25.35,78641900,25.35
2017-03-08,25.60,25.77,25.219999,25.26,104800300,25.26
2017-03-07,25.219999,25.360001,25.10,25.209999,63845400,25.209999
2017-03-06,25.33,25.35,25.08,25.25,75472700,25.25
2017-03-03,25.299999,25.65,25.299999,25.440001,92456100,25.440001
2017-03-02,25.68,25.799999,25.200001,25.23,99824600,25.23
2017-03-01,25.370001,25.610001,25.219999,25.50,143947500,25.50
2017-02-28,24.48,24.700001,24.42,24.68,90242000,24.605001
2017-02-27,24.200001,24.66,24.190001,24.57,69129100,24.495334
